course,utme_subjects,schools_offering
Education and Political Science,"Government, Economics and any other Social Science subject","EKSU"
Education and Social Studies,"Government, Economics and any other Social Science subject","EKSU"
Education and Geography,"Geography and any two (2) Arts or Social Science subjects","EKSU"
Education and Economics,"Economics, Mathematics and one other subject from Social Sciences","EKSU"
Education and Mathematics,"Mathematics and any two (2) Science subjects","EKSU"
Education and Chemistry,"Chemistry, Mathematics and one other Science subject","EKSU"
Education and Physics,"Physics, Mathematics and one other Science subject","EKSU"
Education and Biology,"Biology, Chemistry and one other Science subject","EKSU"
Education and Integrated Science,"Biology, Chemistry and one other Science subject","EKSU"
Education and Agricultural Science,"Biology, Chemistry and one other Science subject","EKSU"
Education and Home Economics,"Biology, Chemistry and one other Science subject","EKSU"
Education and Fine Arts,"Fine Arts and two (2) other subjects","EKSU"
Education and English Language,"Literature in English, one other Arts subject plus any other subject","EKSU"
Education and French,"French and any two (2) Arts subjects","EKSU"
Education and History,"History and any two (2) Arts subjects","EKSU"
Education and Religious Studies,"CRS/IRS and any two (2) other subjects","EKSU"
Education and Christian Religious Studies,"CRS and any two (2) other subjects","EKSU"
Education and Islamic Religious Studies,"IRS and any two (2) other subjects","EKSU"
Education and Hausa,"Hausa and any two (2) subjects","ABU"
Education and Igbo,"Igbo and any two (2) subjects","ABSU"
Education and Yoruba,"Yoruba and any two (2) subjects","EKSU"
Education and Arabic,"Arabic and any two (2) Arts subjects","ABU"
Education and Music,"Music and any two (2) Arts subjects","EKSU"
Education and Theatre Arts,"Literature in English and any two (2) Arts subjects","EKSU"
Education and Law,"English Language and any three (3) Arts or Social Science subjects","EKSU"
Education and Guidance and Counselling,"Any three (3) subjects","EKSU"
Education and Educational Administration,"Any three (3) subjects","EKSU"
Educational Management,"Any three (3) subjects","EKSU"
Education and Curriculum Studies,"Any three (3) subjects","EKSU"
Educational Technology,"Any three (3) subjects","EKSU"
Education and Library Science,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Information Science,"Any three (3) Arts or Social Science subjects","EKSU"
Adult Education,"Any three (3) Arts or Social Science subjects","EKSU"
Educational Foundations,"Any three (3) Arts or Social Science subjects","EKSU"
Early Childhood Education,"Any three (3) Arts or Social Science subjects","EKSU"
Primary Education,"Any three (3) Arts or Social Science subjects","EKSU"
Special Education,"Any three (3) Arts or Social Science subjects","EKSU"
Human Kinetics,"Biology, one Science subject and one other subject","EKSU"
Health Education,"Biology, one Science subject and one other subject","EKSU"
Physical and Health Education,"Biology, one Science subject and one other subject","EKSU"
Sport Science,"Biology, one Science subject and one other subject","EKSU"
Education and Computer Science,"Mathematics, Physics and one other Science subject","EKSU"
Education and Technology,"Mathematics, Physics and one other Science subject","EKSU"
Education and Technical Education,"Mathematics, Physics and one other Science subject","EKSU"
Education and Building Technology,"Mathematics, Physics and one other Science subject","EKSU"
Education and Electrical/Electronics Technology,"Mathematics, Physics and one other Science subject","EKSU"
Education and Mechanical Technology,"Mathematics, Physics and one other Science subject","EKSU"
Education and Metalwork Technology,"Mathematics, Physics and one other Science subject","EKSU"
Education and Woodwork Technology,"Mathematics, Physics and one other Science subject","EKSU"
Education and Automobile Technology,"Mathematics, Physics and one other Science subject","EKSU"
Education and Computer Technology,"Mathematics, Physics and one other Science subject","EKSU"
Education and Civil Engineering Technology,"Mathematics, Physics and one other Science subject","EKSU"
Education and Science Laboratory Technology,"Mathematics, Physics and one other Science subject","EKSU"
Education and Agricultural Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Environmental Science,"Mathematics, Physics and Chemistry","EKSU"
Education and Surveying and Geoinformatics,"Mathematics, Physics and Chemistry","EKSU"
Education and Urban and Regional Planning,"Mathematics, Physics and Chemistry","EKSU"
Education and Architecture,"Mathematics, Physics and Chemistry","EKSU"
Education and Quantity Surveying,"Mathematics, Physics and Chemistry","EKSU"
Education and Fine and Applied Arts,"Fine Arts and two other subjects","EKSU"
Education and Industrial Technical Education,"Mathematics, Physics and Chemistry","EKSU"
Education and Vocational Studies,"Any three (3) subjects","EKSU"
Education and Entrepreneurship,"Any three (3) subjects","EKSU"
Education and Innovation,"Any three (3) subjects","EKSU"
Education and Environmental Management,"Mathematics, Geography and one other subject","EKSU"
Education and Climate Change,"Mathematics, Geography and one other subject","EKSU"
Education and Population Studies,"Mathematics, Geography and one other subject","EKSU"
Education and Demography,"Mathematics, Geography and one other subject","EKSU"
Education and Statistics,"Mathematics, Physics and one other Science subject","EKSU"
Education and Measurement and Evaluation,"Any three (3) subjects","EKSU"
Education and Psychology,"Any three (3) subjects","EKSU"
Education and Sociology,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Anthropology,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Criminology,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Peace Studies,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Conflict Resolution,"Any three (3) Arts or Social Science subjects","EKSU"
Education and International Relations,"Government, Economics and any other Social Science subject","EKSU"
Education and Political Science and International Relations,"Government, Economics and any other Social Science subject","EKSU"
Education and Human Rights,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Gender Studies,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Development Studies,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Philosophy,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Comparative Religious Studies,"CRS/IRS and any two (2) other subjects","EKSU"
Education and Theology,"CRS/IRS and any two (2) other subjects","EKSU"
Education and Ethics,"CRS/IRS and any two (2) other subjects","EKSU"
Education and Moral Philosophy,"CRS/IRS and any two (2) other subjects","EKSU"
Education and Cultural Studies,"Any three (3) Arts or Social Science subjects","EKSU"
Education and African Studies,"Any three (3) Arts or Social Science subjects","EKSU"
Education and History and International Studies,"History or Government and any two (2) Arts or Social Science subjects","EKSU"
Education and Archaeology,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Linguistics,"Any Language and two (2) other subjects","EKSU"
Education and English Literature,"Literature in English and two (2) other subjects","EKSU"
Education and French Literature,"French and two (2) other subjects","EKSU"
Education and German,"German and any two (2) Arts subjects","EKSU"
Education and Russian,"Russian and any two (2) Arts subjects","EKSU"
Education and Chinese,"Chinese and any two (2) Arts subjects","EKSU"
Education and Portuguese,"Portuguese and any two (2) Arts subjects","EKSU"
Education and Yoruba Literature,"Yoruba and two (2) other subjects","EKSU"
Education and Igbo Literature,"Igbo and two (2) other subjects","EKSU"
Education and Hausa Literature,"Hausa and two (2) other subjects","EKSU"
Education and Arabic Literature,"Arabic and two (2) other Arts subjects","EKSU"
Education and Classics,"Any three (3) Arts subjects","EKSU"
Education and Communication Arts,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Mass Communication,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Journalism,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Media Studies,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Broadcasting,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Film Studies,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Theatre and Media Arts,"Literature in English and any two (2) Arts subjects","EKSU"
Education and Performing Arts,"Literature in English and any two (2) Arts subjects","EKSU"
Education and Creative Arts,"Fine Arts and two (2) other subjects","EKSU"
Education and Music and Dance,"Music and two (2) other Arts subjects","EKSU"
Education and Fine Arts and Design,"Fine Arts and two (2) other subjects","EKSU"
Education and Industrial Design,"Fine Arts and two (2) other subjects","EKSU"
Education and Visual Arts,"Fine Arts and two (2) other subjects","EKSU"
Education and Sculpture,"Fine Arts and two (2) other subjects","EKSU"
Education and Painting,"Fine Arts and two (2) other subjects","EKSU"
Education and Graphics,"Fine Arts and two (2) other subjects","EKSU"
Education and Ceramics,"Fine Arts and two (2) other subjects","EKSU"
Education and Textile Design,"Fine Arts and two (2) other subjects","EKSU"
Education and Art History,"Fine Arts and two (2) other subjects","EKSU"
Education and Architecture Studies,"Mathematics, Physics and Chemistry","EKSU"
Education and Environmental Design,"Mathematics, Physics and Chemistry","EKSU"
Education and Urban Studies,"Mathematics, Physics and Chemistry","EKSU"
Education and Surveying,"Mathematics, Physics and Chemistry","EKSU"
Education and Estate Management,"Mathematics, Physics and Chemistry","EKSU"
Education and Quantity Surveying and Valuation,"Mathematics, Physics and Chemistry","EKSU"
Education and Building,"Mathematics, Physics and Chemistry","EKSU"
Education and Construction Management,"Mathematics, Physics and Chemistry","EKSU"
Education and Structural Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Civil Works,"Mathematics, Physics and Chemistry","EKSU"
Education and Mechanical Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Electrical Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Electronics,"Mathematics, Physics and Chemistry","EKSU"
Education and Computer Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Software Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Mechatronics,"Mathematics, Physics and Chemistry","EKSU"
Education and Metallurgical Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Materials Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Petroleum Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Gas Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Mining Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Industrial Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Production Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Aeronautical Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Marine Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Systems Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Agricultural Engineering and Mechanization,"Mathematics, Physics and Chemistry","EKSU"
Education and Water Resources Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Environmental Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Climate Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Energy Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Renewable Energy,"Mathematics, Physics and Chemistry","EKSU"
Education and Industrial Design Technology,"Fine Arts and two (2) other subjects","EKSU"
Education and Textile Technology,"Fine Arts and two (2) other subjects","EKSU"
Education and Printing Technology,"Fine Arts and two (2) other subjects","EKSU"
Education and Fashion Design,"Fine Arts and two (2) other subjects","EKSU"
Education and Wood Technology,"Mathematics, Physics and Chemistry","EKSU"
Education and Metalwork,"Mathematics, Physics and Chemistry","EKSU"
Education and Automobile Mechanics,"Mathematics, Physics and Chemistry","EKSU"
Education and Welding and Fabrication,"Mathematics, Physics and Chemistry","EKSU"
Education and Foundry Technology,"Mathematics, Physics and Chemistry","EKSU"
Education and Agricultural Technology,"Biology, Chemistry and one other Science subject","EKSU"
Education and Fisheries,"Biology, Chemistry and one other Science subject","EKSU"
Education and Forestry,"Biology, Chemistry and one other Science subject","EKSU"
Education and Horticulture,"Biology, Chemistry and one other Science subject","EKSU"
Education and Crop Production,"Biology, Chemistry and one other Science subject","EKSU"
Education and Animal Production,"Biology, Chemistry and one other Science subject","EKSU"
Education and Soil Science,"Biology, Chemistry and one other Science subject","EKSU"
Education and Plant Breeding,"Biology, Chemistry and one other Science subject","EKSU"
Education and Food Technology,"Biology, Chemistry and one other Science subject","EKSU"
Education and Nutrition,"Biology, Chemistry and one other Science subject","EKSU"
Education and Dietetics,"Biology, Chemistry and one other Science subject","EKSU"
Education and Home Management,"Biology, Chemistry and one other Science subject","EKSU"
Education and Hospitality Management,"Biology, Chemistry and one other Science subject","EKSU"
Education and Tourism,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Hotel Management,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Catering,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Consumer Science,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Clothing and Textiles,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Human Ecology,"Biology, Chemistry and one other Science subject","EKSU"
Education and Family Studies,"Biology, Chemistry and one other Science subject","EKSU"
Education and Community Development,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Rural Sociology,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Agricultural Extension,"Biology, Chemistry and one other Science subject","EKSU"
Education and Extension Services,"Biology, Chemistry and one other Science subject","EKSU"
Education and Cooperative Studies,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Project Management,"Mathematics, Economics and one other Social Science subject","EKSU"
Education and Transport Management,"Mathematics, Economics and one other Social Science subject","EKSU"
Education and Aviation Management,"Mathematics, Economics and one other Social Science subject","EKSU"
Education and Maritime Management,"Mathematics, Economics and one other Social Science subject","EKSU"
Education and Insurance Studies,"Any three (3) Social Science subjects","EKSU"
Education and Actuarial Science,"Mathematics, Economics and one other Social Science subject","EKSU"
Education and Risk Management,"Mathematics, Economics and one other Social Science subject","EKSU"
Education and Financial Studies,"Mathematics, Economics and one other Social Science subject","EKSU"
Education and Cooperative Management and Accounting,"Any three (3) Social Science subjects","EKSU"
Education and Business Studies,"Any three (3) Social Science subjects","EKSU"
Education and Entrepreneurship Studies,"Any three (3) Social Science subjects","EKSU"
Education and Office Management,"Any three (3) Social Science subjects","EKSU"
Education and Secretarial Administration,"Any three (3) Social Science subjects","EKSU"
Education and Public Administration Studies,"Government, Economics and any other Social Science subject","EKSU"
Education and International Business,"Mathematics, Economics and one other Social Science subject","EKSU"
Education and Tourism Management,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Event Management,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Hospitality and Tourism,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Leisure Studies,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Recreation Management,"Any three (3) Arts or Social Science subjects","EKSU"
Education and Sports Management,"Biology, one Science subject and one other subject","EKSU"
Education and Exercise Science,"Biology, one Science subject and one other subject","EKSU"
Education and Kinesiology,"Biology, one Science subject and one other subject","EKSU"
Education and Health Science,"Biology, one Science subject and one other subject","EKSU"
Education and Medical Science,"Biology, Chemistry and one other Science subject","EKSU"
Education and Anatomy,"Biology, Chemistry and one other Science subject","EKSU"
Education and Physiology,"Biology, Chemistry and one other Science subject","EKSU"
Education and Biochemistry,"Biology, Chemistry and one other Science subject","EKSU"
Education and Microbiology,"Biology, Chemistry and one other Science subject","EKSU"
Education and Molecular Biology,"Biology, Chemistry and one other Science subject","EKSU"
Education and Biotechnology,"Biology, Chemistry and one other Science subject","EKSU"
Education and Environmental Biology,"Biology, Chemistry and one other Science subject","EKSU"
Education and Genetics,"Biology, Chemistry and one other Science subject","EKSU"
Education and Plant Science,"Biology, Chemistry and one other Science subject","EKSU"
Education and Zoology,"Biology, Chemistry and one other Science subject","EKSU"
Education and Botany,"Biology, Chemistry and one other Science subject","EKSU"
Education and Ecology,"Biology, Chemistry and one other Science subject","EKSU"
Education and Conservation Biology,"Biology, Chemistry and one other Science subject","EKSU"
Education and Marine Biology,"Biology, Chemistry and one other Science subject","EKSU"
Education and Fisheries Biology,"Biology, Chemistry and one other Science subject","EKSU"
Education and Aquaculture,"Biology, Chemistry and one other Science subject","EKSU"
Education and Wildlife Management,"Biology, Chemistry and one other Science subject","EKSU"
Education and Environmental Science and Management,"Biology, Chemistry and one other Science subject","EKSU"
Education and Toxicology,"Biology, Chemistry and one other Science subject","EKSU"
Education and Industrial Chemistry,"Chemistry, Physics and one other Science subject","EKSU"
Education and Analytical Chemistry,"Chemistry, Physics and one other Science subject","EKSU"
Education and Physical Chemistry,"Chemistry, Physics and one other Science subject","EKSU"
Education and Organic Chemistry,"Chemistry, Physics and one other Science subject","EKSU"
Education and Inorganic Chemistry,"Chemistry, Physics and one other Science subject","EKSU"
Education and Polymer Chemistry,"Chemistry, Physics and one other Science subject","EKSU"
Education and Environmental Chemistry,"Chemistry, Physics and one other Science subject","EKSU"
Education and Biophysical Chemistry,"Chemistry, Physics and one other Science subject","EKSU"
Education and Applied Chemistry,"Chemistry, Physics and one other Science subject","EKSU"
Education and Chemical Engineering,"Mathematics, Physics and Chemistry","EKSU"
Education and Industrial Physics,"Physics, Mathematics and Chemistry","EKSU"
Education and Applied Physics,"Physics, Mathematics and Chemistry","EKSU"
Education and Theoretical Physics,"Physics, Mathematics and Chemistry","EKSU"
Education and Computational Physics,"Physics, Mathematics and Chemistry","EKSU"
Education and Solid State Physics,"Physics, Mathematics and Chemistry","EKSU"
Education and Nuclear Physics,"Physics, Mathematics and Chemistry","EKSU"
Education and Particle Physics,"Physics, Mathematics and Chemistry","EKSU"
Education and Geophysics,"Physics, Mathematics and Chemistry","EKSU"
Education and Astronomy,"Physics, Mathematics and Chemistry","EKSU"
Education and Astrophysics,"Physics, Mathematics and Chemistry","EKSU"
Education and Space Science,"Physics, Mathematics and Chemistry","EKSU"
Education and Meteorology,"Physics, Mathematics and Chemistry","EKSU"
Education and Climate Science,"Physics, Mathematics and Chemistry","EKSU"
Education and Mathematics,"Mathematics, Physics and one other Science subject","EKSU"
Education and Pure Mathematics,"Mathematics, Physics and one other Science subject","EKSU"
Education and Applied Mathematics,"Mathematics, Physics and one other Science subject","EKSU"
Education and Industrial Mathematics,"Mathematics, Physics and one other Science subject","EKSU"
Education and Computational Mathematics,"Mathematics, Physics and one other Science subject","EKSU"
Education and Statistics,"Mathematics, Physics and one other Science subject","EKSU"
Education and Probability and Statistics,"Mathematics, Physics and one other Science subject","EKSU"
Education and Mathematical Statistics,"Mathematics, Physics and one other Science subject","EKSU"
Education and Operations Research,"Mathematics, Physics and one other Science subject","EKSU"
