course,utme_subjects,schools_offering
Human Resource Management,"Mathematics, Economics and one other Social Science subject","UNILORIN, UNIPORT"
Taxation,"Mathematics, Economics and one other Social Science subject","UNILORIN"
Transport Management,"Mathematics, Economics and one other Social Science subject","LAUTECH, UNILORIN"
Cooperative and Rural Development,"Mathematics, Economics and one other Social Science subject","UNN"
Demography and Social Statistics,"Mathematics, Economics and one other Social Science subject","OAU, UNIBADAN, UNILAG"
Industrial Relations,"Government, Economics and any other Social Science subject","LASU, UNILORIN"
Library Science,"Any three Arts or Social Science subjects","ABSU, UNIBEN, UNILORIN, UNN"
Public Policy,"Government, Economics and any other Social Science subject","UNILAG, UNILORIN"
Development Studies,"Any three Arts or Social Science subjects","UNILAG, UNILORIN"
Sociology and Anthropology,"Any three Arts or Social Science subjects","UNN, UNIBEN"
Philosophy and Religious Studies,"CRS/IRS and any two other subjects","UNILORIN"
International Law and Diplomacy,"Government, Literature in English and one other Arts or Social Science subject","BABCOCK, UNILAG"
Peace Studies,"Government, Economics and one other Arts or Social Science subject","UNIPORT, UNILORIN"
Conflict Resolution,"Government, Economics and one other Arts or Social Science subject","UNILAG, UNN"
Archaeology and Tourism,"Any three Arts or Social Science subjects","UNN"
History,"History/Government and any two Arts or Social Science subjects","AAU, ABU, ABUJA, BAYERO, DELSU, ESUT, IMSU, LASU, OAU, UNIBEN, UNICAL, UNILAG, UNILORIN, UNIPORT, UNIZIK, UNN"
History and International Relations,"History/Government and any two Arts or Social Science subjects","ABSU, UNIOSUN"
Philosophy and Logic,"Any three Arts or Social Science subjects","UNIBEN"
Ethics and Philosophy,"Any three Arts or Social Science subjects","UNIBADAN"
Applied Psychology,"Any three Arts or Social Science subjects","UNN, UNILAG"
Educational Psychology,"Any three Arts or Social Science subjects","UNILAG, UNILORIN"
Clinical Psychology,"Any three Arts or Social Science subjects","UNILAG, UNN"
Guidance and Counselling,"Any three Arts or Social Science subjects","ABSU, UNIBEN, UNILORIN, UNN"
Tourism Management,"Any three Arts or Social Science subjects","UNIUYO, UNN"
Hospitality Management,"Any three Arts or Social Science subjects","UNIUYO, UNN"
Events Management,"Any three Arts or Social Science subjects","UNILAG"
Sports Management,"Any three Arts or Social Science subjects","UNILAG, UNILORIN"
Physical and Health Education,"Biology, Chemistry and one other Science subject","ABU, DELSU, UNIBADAN, UNILORIN, UNIPORT, UNN"
Human Kinetics,"Biology, Chemistry and one other Science subject","UNILAG, UNILORIN"
Health Education,"Biology, Chemistry and one other Science subject","UNIBEN, UNILORIN, UNN"
Sports Science,"Biology, Chemistry and one other Science subject","UNILAG, UNILORIN"
Kinesiology,"Biology, Chemistry and one other Science subject","UNILAG"
Exercise Physiology,"Biology, Chemistry and one other Science subject","UNILORIN, UNN"
Recreation and Leisure Studies,"Any three Arts or Social Science subjects","UNILAG, UNILORIN"
Community Health Education,"Biology, Chemistry and one other Science subject","UNN, UNILORIN"
Environmental Health Education,"Biology, Chemistry and one other Science subject","UNILAG, UNN"
Nutrition and Dietetics,"Chemistry, Biology and Physics or Mathematics","UNIBEN, UNILAG, UNILORIN, UNN"
Food Science,"Chemistry, Biology and Physics or Mathematics","FUNAAB, UNIBEN, UNILORIN, UNN"
Food Technology,"Chemistry, Biology and Physics or Mathematics","FUTA, UNIBEN, UNILORIN"
Home Economics,"Chemistry, Biology and one other Science subject","UNN, UNILORIN, UNIBEN"
Hospitality and Home Management,"Any three Arts or Social Science subjects","UNN"
Rural Sociology,"Any three Arts or Social Science subjects","UNN"
Community Development,"Any three Arts or Social Science subjects","UNILORIN, UNN"
Development Communication,"Any three Arts or Social Science subjects","UNIBEN, UNILORIN"
Population Studies,"Mathematics, Economics and one other Social Science subject","UNIBEN, UNILORIN"
Labour Studies,"Government, Economics and one other Social Science subject","UNILORIN, UNN"
Industrial Sociology,"Any three Arts or Social Science subjects","UNN, UNILORIN"
Work and Organizational Psychology,"Any three Arts or Social Science subjects","UNILAG, UNILORIN"
course,universities,utme_requirements
Biochemistry,"AAU, AAUA, ABU, ABUAD, ABUJA, ABSU, ABUAD, ACHIEVERS, ADSU, AUGUSTINE, AJAYI, AKSU, AL-ANSAR, AL-HIKMAH, AL-QALAM, ANCHOR-UNI, ARTHUR-JARVIS, ATIBA, AUE, AVE-MARIA, BABCOCK, BASU, BAUK, BAUCHI, BAYERO, BAZE, BCU, BELLS, BENIN, BINGHAM, BIU, BMU, BOWEN, BOSU, BOUEDST, BSU, CALEB, CARITAS, CCU, CHRISLAND, CHRISTOPHER, CLIFFORD, COAL-CITY, COOU, COVENANT, CRAWFORD, CROWN-HILL, CRUTECH, CUAB, CUST, DELSU, DELSUT, DOMINION, EBSU, EDWIN CLARK, EKO-UNI, EKSU, EL-AMIN, ELIZADE, KOMU, EUI, EVANGEL, FED-DUTSE, FED-DUTSINMA, FED-GASHUA, FED-GUSAU, FED-KASHERE, FED-LAFIA, FED-LOKOJA, FED-OTUOKE, FED-OYE EKITI, FED-WUKARI, FOUNTAIN, FUHSO, FUHS-ILA, FUNAAB, FUTA, FUTO, FUTIA, GOUU, GREGORY, GSU, GSUST, HALLMARK, HUDA, IGBINEDION, ILORIN, IMSU, JABU, KASU, KASU-KABBA, KHAIRUN, KKU, KOLADAISI, PAAU, PRIME-UNI, KSUSTA, KUST, KWASU, LAGOS, LANDMARK, LAPAI, LASU, LASUSTECH, LCITY, LEGACY, MADONNA, MAIDUGURI, MAITAMA, MAKURDI, MARANATHA, MAUTY, MC-IBRU, MCPHERSON, MINNA, MKAR, MOUNTAIN TOP, NASARAWA, NDU, NILE, NOVENA, OAU, OBONG, ODUDUWA, OOU, OSUMS, OAUSTECH, PAUL, PC-UNI, PETER-UNI, PHC, PHOENIX, PHILOMATH, PLASU, POL-ACAD, REDEEMERS, RENAISSANCE, RHEMA, RITMAN, RSU, SAISA, SALEM, SAU, SKYLINE, SOSU, SOUTHWESTERN, SPIRITAN, SPORTS-UNI, SUMAS, SUMMIT, TANSIAN, TAU, TECH-IBADAN, TOPFAITH, UAGRIC-IMO, UDA, UDU, UMUDIKE, UMYUK, UNI-AFRICA, UNIHEZ, UNI-ILESA, UNIKINGS, UNIOSUN, UNN, VERITAS, WESLEYUNI, WESTERN-DEL, YSU, DOU, HENSARD, ZAMFARA, FUHS-ILA","Biology, Chemistry and Physics or Mathematics"
Biological Sciences,"ABU, AUE, AUGUSTINE, AKSU, BSU, COOU, CRUTECH, EKSU, FUNAAB, FUTO, GSU, GOUU, HUSTECH, KASU, MAUTY, NDA, NDU, OAUSTECH, RSU, UNN, UNIZIK, VERITAS, YSU","Biology, Chemistry and Physics or Mathematics"
Physics,"AAU, ABU, ABUJA, ABUAD, ACHIEVERS, ADSU, AFIT-DEG, AKSU, AL-HIKMAH, AL-QALAM, ANCHOR-UNI, ARTHUR-JARVIS, ATIBA, AUE, AUGUSTINE, BASU, BAYERO, BAZE, BENIN, BINGHAM, BIU, BOSU, BCU, BOWEN, BSU, CALABAR, CALEB, CHRISLAND, CLIFFORD, COAL-CITY, COOU, CROWN-HILL, CRUTECH, CUST, DELSU, DELSUT, DOMINICAN-UNI, DOU, EUI, EDWIN CLARK, ELIZADE, EVANGEL, EKSU, KOMU, FED-LOKOJA, FED-LAFIA, FED-KASHERE, FED-GASHUA, FED-GUSAU, FED-WUKARI, FED-DUTSINMA, FED-DUTSE, FED-OYE EKITI, FOUNTAIN, FUA-ZURU, FUHSO, FUNAAB, FUTO, FUTIA, FUTA, FUPRE, GOUU, GREGORY, GSU, GSUST, HALLMARK, IAUED, IBADAN, IGBINEDION, ILORIN, IMSU, JABU, JOS, KASU, KASU-KABBA, KOLADAISI, PAAU, KSUSTA, KUST, KWASU, LAGOS, LANDMARK, LAPAI, LASU, LASUED, LAUTECH, LCITY, LEGACY, MAIDUGURI, MAITAMA, MAKURDI, MAUTY, MCPHERSON, MOUNTAIN TOP, NDA, NDU, NOUN-ELUON, MINNA, MKAR, NASARAWA, NAUB, NOVENA, OAU, ODUDUWA, OSUMS, OOU, OAUSTECH, PAUL, PHC, PLASU, POL-ACAD, PRU, RENAISSANCE, RSU, RITMAN, SALEM, SAU, SLUK, SOSU, SOUTHWESTERN, SPIRITAN, SUMMIT, TASUED, TSUJ, UAGRIC-IMO, UDA, UDU, UMUDIKE, UMYUK, UNI-AFRICA, UNIKINGS, UNN, UYO, WESTERN-DEL, WELLSPRING, WESLEYUNI, RHEMA, YSU, ZAMFARA","Physics, Mathematics and Chemistry or Biology"
Physics with Electronics,"AAUA, ACHIEVERS, AFIT-DEG, AJAYI, AL-ANSAR, AL-HIKMAH, ALETHEIA, ANCHOR-UNI, APU, ATIBA, AVE-MARIA, BABCOCK, BAUK, BELLS, BMU, BOUEDST, CCU, CRAWFORD, CUN, DOMINION, EL-AMIN, ELIZADE, EUI, FED-GUSAU, FED-OTUOKE, FED-KEBBI, FOUNTAIN, GOUU, GREENFIELD, HAVILLA, HENSARD, ISTIQAMA, JABU, KHAIRUN, KKU, KUM, LASUSTECH, MARANATHA, MEWAR, MK-UNI, MOUNTAIN TOP, MUDIAME, NDU, NOVENA, NUS, OSUMS, PC-UNI, PEACELAND UNI, PETER-UNI, PHC, PHOENIX, REDEEMERS, SAISA, SKYLINE, SOUTHWESTERN, SPORTS-UNI, TAU, TECH-IBADAN, TOPFAITH, TRINITY, UMYUK, UNIHEZ, UNI-ILESA, UNIOSUN, UOO, VERITAS, VISION-UNI, WESTERN-DEL, WESTLAND","Physics, Mathematics and Chemistry"
Physics Electronics,"KOMU, FED-DUTSINMA","Physics, Mathematics and Chemistry"
Electronics,"BAYERO, NAUB, WESLEYUNI","Physics, Mathematics and Chemistry"
Electrons,"ZAMFARA","Physics, Mathematics and Chemistry"
Physics with Solar Energy,"BOWEN","Physics, Mathematics and Chemistry"
Physics and Energy Studies,"ACHIEVERS","Physics, Mathematics and Chemistry"
Physics/Industrial Physics,"BENIN, UNIZIK","Physics, Mathematics and Chemistry"
Computational Modeling,"CALEB","Physics, Mathematics and Chemistry"
Physics/Astrology,"UNN","Physics, Mathematics and Chemistry"
Physical Sciences,"GOUU","Physics, Mathematics and Chemistry"
Energy Studies,"SALEM","Physics, Mathematics and Chemistry"
Chemistry,"AAU, AAUA, ABU, ABUJA, ABUAD, ADSU, AFIT-DEG, AKSU, AL-HIKMAH, AL-QALAM, ANCHOR-UNI, ARTHUR-JARVIS, ATIBA, AUE, AUGUSTINE, BASU, BAYERO, BAZE, BENIN, BINGHAM, BIU, BOSU, BCU, BOWEN, BSU, CALABAR, CALEB, CHRISLAND, CLIFFORD, COAL-CITY, COOU, CROWN-HILL, CRUTECH, CUST, DELSU, DELSUT, DOMINICAN-UNI, DOU, EUI, EDWIN CLARK, ELIZADE, EVANGEL, EKSU, KOMU, FED-LOKOJA, FED-LAFIA, FED-KASHERE, FED-GASHUA, FED-GUSAU, FED-WUKARI, FED-DUTSINMA, FED-DUTSE, FED-OYE EKITI, FOUNTAIN, FUA-ZURU, FUHSO, FUNAAB, FUTO, FUTIA, FUTA, FUPRE, GOUU, GREGORY, GSU, GSUST, HALLMARK, IAUED, IBADAN, IGBINEDION, ILORIN, IMSU, JABU, JOS, KASU, KASU-KABBA, KOLADAISI, PAAU, KSUSTA, KUST, KWASU, LAGOS, LANDMARK, LAPAI, LASU, LASUED, LAUTECH, LCITY, LEGACY, MAIDUGURI, MAITAMA, MAKURDI, MAUTY, MCPHERSON, MOUNTAIN TOP, NDA, NDU, NOUN-ELUON, MINNA, MKAR, NASARAWA, NAUB, NOVENA, OAU, ODUDUWA, OSUMS, OOU, OAUSTECH, PAUL, PHC, PLASU, POL-ACAD, PRU, RENAISSANCE, RSU, RITMAN, SALEM, SAU, SLUK, SOSU, SOUTHWESTERN, SPIRITAN, SUMMIT, TASUED, TSUJ, UAGRIC-IMO, UDA, UDU, UMUDIKE, UMYUK, UNI-AFRICA, UNIKINGS, UNN, UYO, WESTERN-DEL, WELLSPRING, WESLEYUNI, RHEMA, YSU, ZAMFARA","Biology, Chemistry and Physics or Mathematics"
Industrial Chemistry,"AAU, ABSU, ABU, ABUJA, ABUAD, AKSU, BASU, BAYERO, BENIN, BINGHAM, BIU, BOSU, BOWEN, BSU, CALABAR, CALEB, COOU, CRUTECH, DELSU, EBSU, EKSU, FOUNTAIN, FUNAAB, FUTO, FUTA, GOUU, GREGORY, GSU, IGBINEDION, ILORIN, IMSU, JOS, KASU, KUST, KWASU, LAGOS, LAPAI, LASU, LAUTECH, LCITY, MAIDUGURI, MAKURDI, MCPHERSON, MINNA, NASARAWA, NDU, OAU, OOU, PLASU, REDEEMERS, RSU, SALEM, SAU, UMUDIKE, UNIOSUN, UNIZIK, UNN, UYO, VERITAS, WESLEYUNI","Biology, Chemistry and Physics or Mathematics"
Pure/Applied Chemistry,"BENIN, EKSU, FUTO, KWASU, OAU, UNN","Biology, Chemistry and Physics or Mathematics"
Applied Chemistry,"BAUCHI, MAIDUGURI, UNIZIK","Biology, Chemistry and Physics or Mathematics"
Applied Chemistry and Petrochemical Engineering,"LASU, NDU","Biology, Chemistry and Physics or Mathematics"
Petrochemistry,"FUPRE","Biology, Chemistry and Physics or Mathematics"
Industrial and Environmental Chemistry,"ABUJA, UNN","Biology, Chemistry and Physics or Mathematics"
Applied Chemistry (Energy and Materials),"FUTA","Biology, Chemistry and Physics or Mathematics"
Chemistry and Industrial Chemistry,"AAU, BENIN, EKSU, UNN","Biology, Chemistry and Physics or Mathematics"
Marine Chemistry,"LASU","Biology, Chemistry and Physics or Mathematics"
Environmental Chemistry,"BAUCHI, UNILORIN","Biology, Chemistry and Physics or Mathematics"
Chemistry with Industrial Chemistry,"BAYERO","Biology, Chemistry and Physics or Mathematics"
Chemical Sciences,"ABSU, UNIOSUN","Biology, Chemistry and Physics or Mathematics"
Biological Chemistry,"BENIN","Biology, Chemistry and Physics or Mathematics"
Applied Biochemistry,"BAYERO, MINNA","Biology, Chemistry and Physics or Mathematics"
Biochemistry and Molecular Biology,"NDU, OAU, UNN","Biology, Chemistry and Physics or Mathematics"
Biochemistry and Biotechnology,"BINGHAM, UNIZIK","Biology, Chemistry and Physics or Mathematics"
Biotechnology,"ABUJA, ABUAD, BINGHAM, BOWEN, COVENANT, EKSU, FUTO, GOUU, IGBINEDION, ILORIN, IMSU, JABU, KASU, MCPHERSON, MINNA, OAU, OOU, UNIOSUN, UNIZIK, UNN, VERITAS","Biology, Chemistry and Physics or Mathematics"
Biotechnology and Molecular Biology,"FUHS-ILA","Biology, Chemistry and Physics or Mathematics"
Molecular Biology,"UNN","Biology, Chemistry and Physics or Mathematics"
Cell Biology and Genetics,"LAGOS","Biology, Chemistry and Physics or Mathematics"
Microbiology,"AAU, AAUA, ABU, ABUJA, ABSU, ABUAD, ACHIEVERS, ADSU, AJAYI, AKSU, AL-ANSAR, AL-HIKMAH, AL-QALAM, ANCHOR-UNI, ARTHUR-JARVIS, ATIBA, AUE, AVE-MARIA, BABCOCK, BASU, BAUK, BAUCHI, BAYERO, BAZE, BCU, BELLS, BENIN, BINGHAM, BIU, BMU, BOWEN, BOSU, BOUEDST, BSU, CALEB, CARITAS, CCU, CHRISLAND, CHRISTOPHER, CLIFFORD, COAL-CITY, COOU, COVENANT, CRAWFORD, CROWN-HILL, CRUTECH, CUAB, CUST, DELSU, DELSUT, DOMINION, EBSU, EDWIN CLARK, EKO-UNI, EKSU, EL-AMIN, ELIZADE, KOMU, EUI, EVANGEL, FED-DUTSE, FED-DUTSINMA, FED-GASHUA, FED-GUSAU, FED-KASHERE, FED-LAFIA, FED-LOKOJA, FED-OTUOKE, FED-OYE EKITI, FED-WUKARI, FOUNTAIN, FUHSO, FUHS-ILA, FUNAAB, FUTA, FUTO, FUTIA, GOUU, GREGORY, GSU, GSUST, HALLMARK, HUDA, IGBINEDION, ILORIN, IMSU, JABU, KASU, KASU-KABBA, KHAIRUN, KKU, KOLADAISI, PAAU, PRIME-UNI, KSUSTA, KUST, KWASU, LAGOS, LANDMARK, LAPAI, LASU, LASUSTECH, LCITY, LEGACY, MADONNA, MAIDUGURI, MAITAMA, MAKURDI, MARANATHA, MAUTY, MC-IBRU, MCPHERSON, MINNA, MKAR, MOUNTAIN TOP, NASARAWA, NDU, NILE, NOVENA, OAU, OBONG, ODUDUWA, OOU, OSUMS, OAUSTECH, PAUL, PC-UNI, PETER-UNI, PHC, PHOENIX, PHILOMATH, PLASU, POL-ACAD, REDEEMERS, RENAISSANCE, RHEMA, RITMAN, RSU, SAISA, SALEM, SAU, SKYLINE, SOSU, SOUTHWESTERN, SPIRITAN, SPORTS-UNI, SUMAS, SUMMIT, TANSIAN, TAU, TECH-IBADAN, TOPFAITH, UAGRIC-IMO, UDA, UDU, UMUDIKE, UMYUK, UNI-AFRICA, UNIHEZ, UNI-ILESA, UNIKINGS, UNIOSUN, UNN, VERITAS, WESLEYUNI, WESTERN-DEL, YSU, ZAMFARA","Biology, Chemistry and Physics or Mathematics"
Applied Microbiology,"ABSU, EKSU, FUTO, MAKURDI, UNN","Biology, Chemistry and Physics or Mathematics"
Industrial Microbiology,"ABSU, FUTO, UNN","Biology, Chemistry and Physics or Mathematics"
Microbiology and Industrial Biotechnology,"ABSU, FUTA, UNILORIN","Biology, Chemistry and Physics or Mathematics"
Applied Microbiology and Brewing,"UMUDIKE","Biology, Chemistry and Physics or Mathematics"
Applied Microbiology and Biotechnology,"UNIZIK","Biology, Chemistry and Physics or Mathematics"
Genetics,"BENIN, IBADAN, LAGOS","Biology, Chemistry and Physics or Mathematics"
Genetics and Molecular Biology,"OAU, UNN","Biology, Chemistry and Physics or Mathematics"
Genetics and Bioinformatics,"UNIZIK","Biology, Chemistry and Physics or Mathematics"
Genetics and Plant Breeding,"MAKURDI","Biology, Chemistry and Physics or Mathematics"
Human Genetics,"IBADAN","Biology, Chemistry and Physics or Mathematics"
Biostatistics,"UNN","Biology, Chemistry and Physics or Mathematics"
Statistics,"AAUA, ABU, BENIN, FUTO, ILORIN, KUST, MAKURDI, MINNA, OAU, UDU, UNIOSUN, UNIZIK, UNN","Biology, Chemistry and Physics or Mathematics"
Statistics and Computer Science,"ABSU, OAU, UNN","Biology, Chemistry and Physics or Mathematics"
Statistics and Biometrics,"UMUDIKE","Biology, Chemistry and Physics or Mathematics"
Applied Statistics,"ILORIN, MINNA, UNIOSUN","Biology, Chemistry and Physics or Mathematics"
Mathematics,"AAU, ABU, ABUJA, ABUAD, ADSU, AKSU, BAYERO, BAZE, BENIN, BINGHAM, BOSU, BOWEN, BSU, CALABAR, DELSU, EKSU, FUNAAB, FUTO, FUTA, GOUU, GREGORY, IGBINEDION, ILORIN, IMSU, JOS, KASU, KUST, KWASU, LAGOS, LAPAI, LASU, LAUTECH, MAKURDI, MCPHERSON, MINNA, NASARAWA, NDU, OAU, OOU, PLASU, REDEEMERS, RSU, SALEM, SAU, UDU, UMUDIKE, UMYUK, UNIOSUN, UNIZIK, UNN, UYO, VERITAS, WESLEYUNI","Biology, Chemistry and Physics or Mathematics"
Applied Mathematics,"BENIN, FUTA, OAU","Biology, Chemistry and Physics or Mathematics"
Applied Mathematics with Statistics,"MAIDUGURI, MINNA, UNIOSUN","Biology, Chemistry and Physics or Mathematics"
Mathematics and Computer Science,"BENIN, FUTO, UNN","Biology, Chemistry and Physics or Mathematics"
Mathematics with Statistics,"ABSU, UNIOSUN, UNN","Biology, Chemistry and Physics or Mathematics"
Mathematics and Economics,"BENIN, DELSU, EKSU, ILORIN, JOS, LAGOS, OAU, OOU, UNIOSUN, UNIZIK","Biology, Chemistry and Physics or Mathematics"
Mathematics with Economics,"ABSU","Biology, Chemistry and Physics or Mathematics"
Mathematics with Physics,"ABSU, MAKURDI, UNIZIK","Biology, Chemistry and Physics or Mathematics"
Mathematics/Statistics/Computer Science,"ABSU, UNN","Biology, Chemistry and Physics or Mathematics"
Mathematics with Management Sciences,"IBADAN","Biology, Chemistry and Physics or Mathematics"

Applied Geophysics,"FUTA, MINNA, OAU, UNN","Physics, Mathematics and Chemistry"
Geophysics,"AAU, ABU, BAYERO, BENIN, CALABAR, DELSU, EKSU, ILORIN, JOS, KUST, LAGOS, MAIDUGURI, MAKURDI, NASARAWA, NDU, OOU, RSU, UDU, UMUDIKE, UNIZIK, UNN, UYO","Physics, Mathematics and Chemistry"
Exploration Geophysics,"FUTO, MINNA, OAU, UNN","Physics, Mathematics and Chemistry"
Marine Geophysics,"LAGOS","Physics, Mathematics and Chemistry"
Physics with Geophysics,"LASU","Physics, Mathematics and Chemistry"
Geoscience and Technology,"MAKURDI","Physics, Mathematics and Chemistry"
Applied Geoscience,"NDU","Physics, Mathematics and Chemistry"
Geology and Geophysics,"IBADAN, UNN","Physics, Mathematics and Chemistry"
Earth Sciences,"ABUJA, UNICAL, UNILORIN, UNN","Physics, Mathematics and Chemistry"
Applied Earth Sciences,"FUTA","Physics, Mathematics and Chemistry"
Environmental Geoscience,"BAYERO, UNILORIN","Physics, Mathematics and Chemistry"
Geological Sciences,"UNN","Physics, Mathematics and Chemistry"
Geophysics and Petroleum Studies,"ABUAD","Physics, Mathematics and Chemistry"
Petroleum Geoscience,"IBADAN","Physics, Mathematics and Chemistry"
Geological Engineering,"UNN","Physics, Mathematics and Chemistry"
Hydrogeology,"MINNA","Physics, Mathematics and Chemistry"
Geology and Hydrogeology,"OAU","Physics, Mathematics and Chemistry"
Exploration and Mining Geology,"BAUCHI","Physics, Mathematics and Chemistry"
Engineering Geology,"ABU, UNN","Physics, Mathematics and Chemistry"
Applied Mineralogy,"UNN","Physics, Mathematics and Chemistry"
Computer Science,"AAU, AAUA, ABU, ABUAD, ABUJA, ABSU, ACHIEVERS, ADSU, AJAYI, AKSU, AL-ANSAR, AL-HIKMAH, AL-QALAM, ANCHOR-UNI, ARTHUR-JARVIS, ATIBA, AUE, AUGUSTINE, BABCOCK, BASU, BAUCHI, BAYERO, BAZE, BENIN, BINGHAM, BIU, BOSU, BOWEN, BSU, CALEB, CARITAS, CHRISLAND, CLIFFORD, COAL-CITY, COOU, COVENANT, CRAWFORD, CROWN-HILL, CRUTECH, CUAB, CUST, DELSU, EBSU, EDWIN CLARK, EKO-UNI, EKSU, ELIZADE, EUI, EVANGEL, FED-DUTSE, FED-DUTSINMA, FED-GASHUA, FED-GUSAU, FED-KASHERE, FED-LAFIA, FED-LOKOJA, FED-OTUOKE, FED-OYE EKITI, FED-WUKARI, FOUNTAIN, FUHSO, FUHS-ILA, FUNAAB, FUTA, FUTIA, FUTO, GOUU, GREGORY, GSU, GSUST, HALLMARK, IAUED, IBADAN, IGBINEDION, ILORIN, IMSU, JABU, JOS, KASU, KASU-KABBA, KOLADAISI, KSUSTA, KUST, KWASU, LAGOS, LANDMARK, LAPAI, LASU, LASUSTECH, LAUTECH, LCITY, LEGACY, MAIDUGURI, MAKURDI, MAUTY, MCPHERSON, MINNA, MKAR, MOUNTAIN TOP, NASARAWA, NDU, NILE, NOVENA, OAU, ODUDUWA, OSUMS, OAUSTECH, OOU, PAUL, PHC, PLASU, POL-ACAD, REDEEMERS, RENAISSANCE, RSU, SALEM, SAU, SOUTHWESTERN, SPIRITAN, SUMMIT, TANSIAN, TECH-IBADAN, UDA, UDU, UMUDIKE, UMYUK, UNI-ILESA, UNIKINGS, UNIOSUN, UNIZIK, UNN, UYO, VERITAS, WESLEYUNI, WESTERN-DEL, YSU, ZAMFARA","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Computer with Electronics,"BAYERO, BENIN, IGBINEDION, OAU","Mathematics, Physics and Chemistry"
Computer Science and Mathematics,"ABU, DELSU, FED-LOKOJA, LAGOS, MAKURDI, UNIZIK","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Computer Science and Statistics,"ABU, CALABAR, DELSU, FED-LOKOJA, MAKURDI, UNIZIK","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Computer Science and Economics,"LAGOS, MAKURDI","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Computer Science and Informatics,"FED-OTUOKE, NOVENA","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Computer Science and Information Science,"LEAD CITY, LAGOS","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Computer Science and Software Engineering,"REDEEMERS, CRAWFORD","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Computer Science and Information Technology,"ABUJA, ILORIN","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Information and Communication Technology,"FUNAAB, FUTMINNA, RSU, UNIOSUN","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Information Technology,"ABUJA, COVENANT, BELLS, BOWEN, UNIOSUN","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Information Systems,"BOWEN, COVENANT, NOVENA","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Software Engineering,"ABUJA, COVENANT, BOWEN, BELLS, UNIOSUN","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Cyber Security,"ABUJA, ABUAD, FUTA, COVENANT, BOWEN, BELLS, UNIOSUN","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Cyber Security Science,"MINNA, FUTMINNA, FUTA","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Computer Engineering,"ABU, ABUJA, ABUAD, BENIN, BOWEN, COVENANT, FUTA, FUTMINNA, ILORIN, LAGOS, LAUTECH, MAIDUGURI, MINNA, OAU, UNIBEN, UNILORIN, UNN","Mathematics, Physics and Chemistry"
Artificial Intelligence,"NOVENA","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Data Science,"BAYERO, UNILORIN, UNIOSUN","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Big Data and Analytics,"NOVENA","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Computer Information Science,"LAGOS, NOVENA","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"





